cuenta,saldo_inicial,saldo_final,crecimiento_porcentual
"Programa de Capitalización y compra de cartera",150445.0,0.0,-100.0%
"Saneamientos financieros",369411.0,0.0,-100.0%
"Emisiones realizadas",0.0,1105694.0,0%
"Pasivos de las instituciones en liquidación",164138.0,0.0,-100.0%
"Programa de deudores",16501.0,0.0,-100.0%
"Programas de daciones en pago",14008.0,0.0,-100.0%
"Operaciones con instrumentos financieros derivados",0.0,0.0,0%
"Otros pasivos",7961.0,0.0,-100.0%
"Reserva para la Protección al Ahorro Bancario",1097.0,120817.0,10913.4%
"Reserva y Otros pasivos",0.0,540.0,0%
"Recursos líquidos",5209.0,216029.0,4047.23%
"Programa de daciones en pago",14008.0,0.0,-100.0%
"Reserva paz y a salvo",0,0,0%
"Nuevo Programa",0,0,0%
"Reserva para Contingencias de Resoluciones Bancarias",0,337.0,0%
"Reserva para subrogación de OG",0,15154.0,0%
"Obligaciones garantizadas por pagar",0,0,0%
"Recursos por recuperar del pago por subrogación de obligaciones garantizadas",0,15154.0,0%
